"ra" "dec" "zspec" "Vel" "flag" "r"
"189" 247.674485 40.529419 0.0299 8959.118 0 14.5383
"227" 246.012562 41.354753 0.0299 8964.214 0 16.7986
"80" 247.419583 40.840227 0.0299 8964.634 0 17.0808
"292" 247.173764 39.837449 0.0299 8964.964 0 17.5562
"293" 245.660636 41.478381 0.0299 8973.927 0 17.0836
"479" 246.819022 39.384537 0.0299 8974.557 0 15.3791
"128" 247.489689 40.630707 0.03 8987.808 0 13.6537
"170" 246.084274 40.865005 0.03 8988.917 0 16.7046
"45" 246.849422 40.677767 0.03 8991.226 0 15.3453
"78" 247.282645 40.665024 0.03 8995.513 0 14.6282
"258" 246.149504 41.692855 0.03 8997.311 0 15.7966
"130" 247.608446 40.85229 0.03 9004.326 0 16.2085
"431" 248.78281 40.991374 0.0301 9012.181 0 14.7523
"342" 248.080765 40.067737 0.0301 9014.669 0 16.38
"183" 247.641341 40.539445 0.0301 9016.888 0 13.5744
"43" 246.900063 41.163774 0.0301 9025.852 0 16.3016
"398" 245.174841 41.209111 0.0301 9026.661 0 15.987
"467" 244.933703 40.876815 0.0301 9028.22 0 17.3727
"143" 246.476356 40.464812 0.0301 9031.278 0 15.9683
"104" 246.330498 40.777355 0.0301 9032.597 0 16.9911
"103" 247.530355 40.880116 0.0301 9034.126 0 15.1132
"134" 247.566477 40.682986 0.0302 9045.458 0 16.2249
"441" 245.060425 41.228772 0.0302 9047.676 0 16.9938
"206" 245.974737 40.672874 0.0302 9051.844 0 15.6035
"195" 245.969506 40.934456 0.0302 9054.811 0 16.5254
"437" 246.414115 39.546119 0.0302 9063.026 0 15.0634
"194" 247.699733 40.532219 0.0302 9065.514 0 17.3275
"253" 247.907962 41.493647 0.0302 9065.724 0 14.0329
"187" 247.766158 41.156037 0.0302 9067.253 0 13.704
"198" 245.998462 41.138173 0.0303 9079.275 0 16.3863
"280" 245.555259 40.628482 0.0303 9083.711 0 16.2785
"30" 246.745351 41.071975 0.0303 9085.24 0 17.4363
"58" 247.157984 41.163946 0.0303 9087.879 0 14.4948
"416" 247.086094 39.55135 0.0303 9088.178 0 16.9346
"115" 247.254766 40.495048 0.0303 9088.928 0 15.4442
"40" 247.225614 40.86662 0.0303 9091.986 0 14.5959
"360" 247.192607 39.655882 0.0304 9102.958 0 16.0127
