"clusterID" "ra" "dec" "r" "zspec" "Vel" "Flag"
"4772" 12 255.694 34.119538 16.829 0.101242 30351.468 0
"4941" 12 256.1143 34.497902 17.0139 0.101495 30427.555 0
"4828" 12 255.79303 33.879615 16.6995 0.10153 30438.078 0
"4846" 12 255.6291 34.415037 17.3892 0.101678 30482.268 0
"4773" 12 255.71117 34.115347 17.6698 0.101754 30505.232 0
"4884" 12 256.04446 33.759595 17.1806 0.101869 30539.678 0
"4769" 12 255.59319 34.116588 17.8068 0.10196 30566.719 0
"4788" 12 255.74805 34.115868 17.671 0.101976 30571.726 0
"4859" 12 255.49995 34.431649 17.5639 0.101996 30577.602 0
"4866" 12 255.15601 34.128869 16.8471 0.102021 30585.066 0
"4802" 12 255.63345 33.944776 17.6892 0.102162 30627.247 0
"4854" 12 256.01685 34.258097 16.2892 0.102232 30648.473 0
"4778" 12 255.57972 34.136679 17.6135 0.102306 30670.567 0
"4867" 12 256.00612 34.356246 17.6848 0.102317 30673.925 0
"4783" 12 255.65431 33.99814 17.3756 0.102473 30720.603 0
"4796" 12 255.52424 34.011889 17.2948 0.102504 30729.806 0
"4764" 12 255.69165 34.078619 17.2502 0.102583 30753.52 0
"4761" 12 255.62809 34.041873 16.2457 0.1026 30758.856 0
"4946" 12 255.37436 34.611765 18.6587 0.102613 30762.693 0
"4885" 12 255.4471 34.518259 17.0992 0.102614 30762.903 0
"4965" 12 255.21122 34.569406 17.6637 0.102625 30766.201 0
"4839" 12 255.57718 33.770457 17.2423 0.102644 30772.017 0
"4967" 12 255.19524 34.562473 17.3409 0.102656 30775.585 0
"4881" 12 256.19096 34.109967 16.5391 0.102749 30803.435 0
"4834" 12 255.62023 33.813457 17.6859 0.102826 30826.489 0
"4919" 12 255.59602 34.618594 17.7281 0.102872 30840.13 0
"4837" 12 255.95923 33.95085 17.66 0.103482 31023.213 0
"4820" 12 255.69011 34.273835 17.7161 0.103733 31098.431 0
"4813" 12 255.82978 34.019429 17.6233 0.103758 31105.776 0
"4900" 12 256.25631 34.097546 17.4169 0.103809 31121.035 0
"4771" 12 255.57647 34.102112 17.5297 0.103875 31140.942 0
"4781" 12 255.70729 34.137411 16.9513 0.104233 31248.177 0
"4824" 12 255.60616 33.863899 17.7701 0.104454 31314.372 0
"4803" 12 255.74991 33.976846 16.6853 0.104552 31343.811 0
"4933" 12 255.57962 34.642353 17.3603 0.104748 31402.54 0
"4862" 12 256.01708 34.28928 17.6889 0.104831 31427.573 0
"4759" 12 255.67283 34.102991 17.6447 0.105047 31492.208 0
"4793" 12 255.60917 34.188159 16.2798 0.105272 31559.842 0
"4864" 12 255.62875 34.480112 17.6725 0.105386 31593.838 0
"4782" 12 255.73721 34.093427 17.5448 0.105436 31608.768 0
"4815" 12 255.63286 33.89596 15.3932 0.105437 31609.337 0
"4804" 12 255.73012 33.963918 17.1465 0.105529 31636.888 0
"4758" 12 255.66803 34.04964 17.5281 0.105753 31704.042 0
"4777" 12 255.70129 34.137874 17.6204 0.106044 31791.131 0
