"clusterID" "ra" "dec" "r" "zspec" "Vel" "Flag" "lgm_tot_p50"
"80" 1 10.520954 -9.534448 15.0055 0.052804 15830.184 0 10.72157
"81" 1 10.184363 -9.373114 16.8053 0.057126 17125.926 0 10.13163
"82" 1 10.303303 -9.534406 15.5008 0.057138 17129.526 0 10.67614
"83" 1 10.183598 -9.399686 15.9574 0.058474 17530.07 0 10.65251
"84" 1 10.63573 -9.454203 17.7529 0.057355 17194.462 0 9.834927
"85" 1 10.642528 -9.181383 16.823 0.05447 16329.62 0 10.2272
"86" 1 10.327076 -9.077406 17.6798 0.059814 17931.786 0 9.976662
"87" 1 10.667695 -9.399175 17.3648 0.054993 16486.526 0 9.966145
"88" 1 10.590273 -9.116658 16.0881 0.052406 15710.828 0 10.44697
"89" 1 10.369033 -9.574099 15.4514 0.053315 15983.558 0 10.83004
"90" 1 10.566306 -9.547807 15.5756 0.059128 17726.101 0 10.85629
"91" 1 10.329314 -9.573296 16.6399 0.058257 17464.904 0 10.45732
"92" 1 10.641244 -9.14619 16.4941 0.055624 16675.695 0 10.34228
"93" 1 10.482236 -9.042989 16.5973 0.057953 17373.776 0 10.4193
"94" 1 10.378064 -9.037471 16.0926 0.050784 15224.735 0 10.48643
"95" 1 10.488949 -9.589941 16.4609 0.053048 15903.318 0 10.09111
"96" 1 10.524426 -9.044636 15.6546 0.055506 16640.154 0 10.78707
"97" 1 10.223597 -9.102035 17.1642 0.056767 17018.444 0 10.02979
"98" 1 10.175907 -9.478113 15.9016 0.053639 16080.469 0 10.64536
"99" 1 10.303882 -9.038153 16.773 0.055218 16553.835 0 10.29447
"100" 1 10.525083 -9.601753 16.3037 0.052832 15838.497 0 10.33774
"101" 1 10.466323 -9.616426 17.4562 0.054056 16205.491 0 9.862805
"102" 1 10.395466 -9.013121 16.4516 0.058489 17534.501 0 10.40973
"103" 1 10.664742 -9.514949 15.9569 0.057408 17210.509 0 10.75578
"104" 1 10.400858 -8.99297 16.2169 0.059735 17908.171 0 10.52057
"105" 1 10.195033 -9.55041 16.9871 0.057388 17204.397 0 10.25411
"106" 1 10.644471 -9.07675 16.9436 0.050396 15108.248 0 9.773727
"107" 1 10.57342 -9.027181 17.4628 0.05282 15834.912 0 9.968409
"108" 1 10.685987 -9.517458 15.9115 0.056786 17024.024 0 10.68327
"109" 1 10.686169 -9.554522 15.1743 0.054448 16323.1 0 10.98187
"110" 1 10.606409 -9.619134 17.5037 0.056461 16926.501 0 9.945695
"111" 1 10.439389 -9.675854 16.9612 0.056912 17061.926 0 9.902231
"112" 1 10.246205 -8.999499 16.8476 0.056544 16951.558 0 10.26216
"113" 1 10.744646 -9.486286 17.4756 0.059891 17954.888 0 10.05544
"114" 1 10.772 -9.425802 16.044 0.054365 16298.259 0 10.56961
"115" 1 10.625405 -9.008739 17.2992 0.058034 17398.203 0 10.01536
