"clusterID" "ra" "dec" "u" "g" "r" "i" "z" "zspec" "zerrx" "Vel" "Vel_err" "radp" "radmpc" "Voff" "Flag" "run" "camcol" "field" "DR12id" "DR12specObjID" "lgm_tot_p50" "sfr_tot_p50" "specsfr_tot_p50" "d4000_n"
"60" 1 10.300908 -9.169536 0 0 15.1744 0 0 0.055933 0 16768.381 0 0.189 0.729055 249.817 0 1740 5 90 "1237652948530102436" "738681634391353344" 10.99153 -1.281801 -12.337 1.988811
"61" 1 10.548955 -9.459127 0 0 17.3513 0 0 0.05702 0 17094.277 0 0.190232 0.733805 575.712 0 1666 5 261 "1237652630713729230" "737616482736826368" 10.10529 -1.927132 -12.1 1.835438
"62" 1 10.582872 -9.424321 0 0 17.3554 0 0 0.051139 0 15331.018 0 0.19216 0.741245 -1187.547 0 1666 5 261 "1237652630713729262" "738696202920421376" 9.5902 -0.3596686 -10.00625 1.252944
"63" 1 10.510398 -9.144565 0 0 17.1328 0 0 0.056024 0 16795.663 0 0.192183 0.74133 277.098 0 1740 5 91 "1237652948530168080" "737621430539151360" 10.16857 -1.836546 -12.05 1.833862
"64" 1 10.279569 -9.448161 0 0 17.6178 0 0 0.047372 0 14201.744 0 0.193104 0.744884 -2316.82 1 1666 5 259 "1237652630713598129" "737601639329851392" 9.82411 -2.039508 -11.86543 1.903019
"65" 1 10.531706 -9.476544 0 0 16.8993 0 0 0.056977 0 17081.2 0 0.193676 0.747091 562.635 0 1666 5 261 "1237652630713729202" "738695928042514432" 10.19433 -2.032239 -12.27258 1.754897
"66" 1 10.257818 -9.209217 0 0 15.4212 0 0 0.053919 0 16164.525 0 0.194068 0.748604 -354.04 0 1740 5 90 "1237652948530102377" "737599715184502784" 10.91746 -1.077388 -12.00208 1.962542
"67" 1 10.326644 -9.486612 0 0 16.685 0 0 0.057982 0 17382.563 0 0.195011 0.752242 863.999 0 1666 5 260 "1237652630713663592" "738686582193678336" 10.375 -0.8422666 -11.28031 1.791928
"68" 1 10.303778 -9.150124 0 0 16.0426 0 0 0.053093 0 15916.842 0 0.202755 0.782111 -601.722 0 1740 5 90 "1237652948530102454" "737610710300780544" 10.55539 -1.543561 -12.1299 1.942762
"69" 1 10.519854 -9.132449 0 0 17.5299 0 0 0.053111 0 15922.148 0 0.207232 0.799382 -596.416 0 1740 5 91 "1237652948530168082" "737620605905430528" 9.890899 -1.768105 -11.71354 1.898807
